4000,1500
1000
wall,15,1365
wall,45,1365
wall,75,1365
wall,105,1365
wall,135,1365
wall,165,1335
wall,195,1335
wall,225,1335
wall,255,1335
wall,285,1305
wall,315,1305
wall,345,1275
wall,375,1275
wall,405,1275
wall,435,1275
wall,465,1260
wall,495,1245
wall,525,1230
wall,555,1215
wall,585,1200
wall,615,1185
wall,645,1170
wall,675,1155
wall,705,1140
wall,735,1125
wall,765,1110
wall,795,1095
wall,825,1080
wall,855,1065
wall,885,1050
wall,915,1035
wall,945,1020
wall,975,1005
wall,1005,990
wall,1035,975
wall,1065,960
wall,1095,945
wall,45,1095
wall,75,1095
wall,105,1095
wall,75,1065
wall,1125,945
wall,1155,945
wall,1185,945
wall,1215,945
wall,1245,945
wall,1275,945
wall,1305,945
wall,1335,945
wall,1365,945
wall,1395,945
wall,1425,945
wall,1455,945
wall,1485,945
wall,1515,945
wall,1335,915
wall,1365,915
wall,1395,915
wall,1425,915
wall,1455,915
wall,1485,915
wall,1155,795
wall,1185,795
wall,1155,765
wall,1185,765
wall,1155,735
wall,1185,735
wall,1155,705
wall,1185,705
wall,1185,675
wall,1155,675
wall,1155,645
wall,1185,645
wall,1155,615
wall,1155,585
wall,1155,555
wall,1155,525
wall,1155,495
wall,1155,465
wall,1185,465
wall,1185,495
wall,1185,525
wall,1185,555
wall,1185,585
wall,1185,615
wall,1125,465
wall,1095,465
wall,1065,465
wall,1335,795
wall,1365,795
wall,1365,765
wall,1335,765
wall,1335,735
wall,1365,735
wall,1365,705
wall,1335,705
wall,1335,675
wall,1365,675
wall,1365,645
wall,1335,645
wall,1335,615
wall,1365,615
wall,1365,585
wall,1335,585
wall,1335,555
wall,1365,555
wall,1365,525
wall,1335,525
wall,1335,495
wall,1365,495
wall,1365,465
wall,1335,465
wall,1515,915
wall,1545,915
wall,1545,945
wall,1575,915
wall,1605,915
wall,1635,915
wall,1665,915
wall,1695,915
wall,1725,915
wall,1755,915
wall,1785,915
wall,1815,915
wall,1845,915
wall,1875,915
wall,1905,915
wall,1575,945
wall,1605,945
wall,1635,945
wall,1665,945
