810,420
wall,15,15
wall,15,405
wall,45,15
wall,45,405
wall,75,15
wall,75,405
wall,105,15
wall,105,405
wall,135,15
wall,135,405
wall,165,15
wall,165,405
wall,195,15
wall,195,405
wall,225,15
wall,225,405
wall,255,15
wall,255,405
wall,285,15
wall,285,405
wall,315,15
wall,315,405
wall,345,15
wall,345,405
wall,375,15
wall,375,405
wall,405,15
wall,405,405
wall,435,15
wall,435,405
wall,465,15
wall,465,405
wall,495,15
wall,525,15
wall,555,15
wall,585,15
wall,615,15
wall,615,405
wall,645,15
wall,645,405
wall,675,15
wall,675,405
wall,705,15
wall,705,405
wall,735,15
wall,735,405
wall,765,15
wall,765,405
wall,795,15
wall,795,405
wall,15,15
wall,795,15
wall,15,45
wall,795,45
wall,15,75
wall,795,75
wall,15,105
wall,795,105
wall,15,135
wall,795,135
wall,15,165
wall,795,165
wall,15,195
wall,795,195
wall,15,225
wall,795,225
wall,15,255
wall,795,255
wall,15,285
wall,795,285
wall,15,315
wall,795,315
wall,15,345
wall,795,345
wall,15,375
wall,795,375
wall,15,405
wall,795,405
wall,225,375
wall,465,375
wall,465,345
wall,435,375
wall,435,345
shocker,555,405
shocker,525,405
shocker,495,405
shocker,585,405
exit,765,360
player,37.5,382.5
