1200,420
wall,15,15
wall,15,405
wall,45,15
wall,45,405
wall,75,15
wall,75,405
wall,105,15
wall,105,405
wall,135,15
wall,135,405
wall,165,15
wall,165,405
wall,195,15
wall,195,405
wall,225,15
wall,225,405
wall,255,15
wall,255,405
wall,285,15
wall,285,405
wall,315,15
wall,315,405
wall,345,15
wall,345,405
wall,375,15
wall,375,405
wall,405,15
wall,405,405
wall,435,15
wall,435,405
wall,465,15
wall,465,405
wall,495,15
wall,495,405
wall,525,15
wall,525,405
wall,555,15
wall,555,405
wall,585,15
wall,585,405
wall,615,15
wall,615,405
wall,645,15
wall,645,405
wall,675,15
wall,675,405
wall,705,15
wall,705,405
wall,735,15
wall,735,405
wall,765,15
wall,765,405
wall,795,15
wall,795,405
wall,15,15
wall,795,15
wall,15,45
wall,825,14.999999999999998
wall,15,75
wall,855,15
wall,15,105
wall,15,135
wall,15,165
wall,15,195
wall,15,225
wall,15,255
wall,15,285
wall,15,315
wall,15,345
wall,15,375
wall,15,405
wall,795,405
wall,255,345
wall,255,375
wall,465,375
wall,465,345
wall,465,315
wall,495,315
wall,525,315
wall,525,345
wall,495,345
wall,495,375
wall,525,375
wall,825,405
wall,855,405
wall,885,405
wall,915,405
wall,945,405
wall,975,405
wall,1005,405
wall,1035,405
wall,1065,405
wall,1095,405
wall,1125,405
wall,1155,405
wall,1185,405
wall,1185,15
wall,1155,15
wall,1125,15
wall,1095,15
wall,1065,15
wall,1035,15
wall,1005,15
wall,975,15
wall,945,15
wall,915,15
wall,885,15
wall,735,375
wall,735,345
wall,945,375
wall,945,345
wall,945,315
wall,975,315
wall,975,345
wall,975,375
wall,1005,375
wall,1005,345
wall,1005,315
wall,1185,45
wall,1185,75
wall,1185,105
wall,1185,135
wall,1185,165
wall,1185,195
wall,1185,225
wall,1185,255
wall,1185,285
wall,1185,315
wall,1185,345
wall,1185,375
wall,225,345
wall,225,375
wall,705,345
wall,705,375
gravObj_off,855,45,0,300000
gravObj_on,375,45,0,300000
exit,1155,375
player,37.5,382.5
