900,900
wall,15,15
wall,15,885
wall,45,15
wall,45,885
wall,75,885
wall,105,885
wall,135,15
wall,135,885
wall,165,15
wall,195,15
wall,225,15
wall,255,15
wall,285,15
wall,285,885
wall,315,15
wall,315,885
wall,345,15
wall,345,885
wall,375,15
wall,375,885
wall,405,15
wall,405,885
wall,435,15
wall,465,15
wall,495,15
wall,525,15
wall,555,15
wall,585,15
wall,615,15
wall,645,15
wall,675,15
wall,675,885
wall,705,15
wall,705,885
wall,735,15
wall,735,885
wall,765,15
wall,765,885
wall,795,15
wall,795,885
wall,825,15
wall,825,885
wall,855,15
wall,855,885
wall,885,15
wall,885,885
wall,15,15
wall,885,15
wall,15,45
wall,885,45
wall,15,75
wall,885,75
wall,15,105
wall,885,105
wall,15,135
wall,885,135
wall,15,165
wall,885,165
wall,15,195
wall,885,195
wall,15,225
wall,885,225
wall,15,255
wall,885,255
wall,15,285
wall,885,285
wall,15,315
wall,885,315
wall,15,345
wall,885,345
wall,15,375
wall,885,375
wall,15,405
wall,885,405
wall,15,435
wall,885,435
wall,15,465
wall,885,465
wall,15,495
wall,885,495
wall,15,525
wall,885,525
wall,15,555
wall,885,555
wall,15,585
wall,885,585
wall,15,615
wall,885,615
wall,15,645
wall,885,645
wall,15,675
wall,885,675
wall,15,705
wall,885,705
wall,15,735
wall,885,735
wall,15,765
wall,885,765
wall,15,795
wall,885,795
wall,15,825
wall,885,825
wall,15,855
wall,885,855
wall,15,885
wall,885,885
wall,195,735
wall,225,735
wall,255,735
wall,255,705
wall,255,675
wall,225,675
wall,195,675
wall,195,705
wall,285,825
wall,285,855
wall,165,735
wall,135,735
wall,105,735
wall,75,735
wall,45,735
wall,735,825
wall,735,855
wall,765,855
wall,795,855
wall,795,825
wall,795,795
wall,765,795
wall,735,795
wall,705,855
wall,825,795
wall,855,795
wall,855,765
wall,855,735
wall,825,765
wall,825,735
wall,855,705
wall,855,675
wall,795,615
wall,765,615
wall,735,615
wall,705,615
wall,675,615
wall,525,495
wall,525,465
wall,675,435
wall,645,405
wall,705,435
wall,705,405
wall,705,375
wall,675,375
wall,645,375
wall,645,435
wall,555,435
wall,585,435
wall,615,435
wall,525,435
wall,705,495
wall,735,495
wall,765,495
wall,795,495
wall,825,495
wall,855,495
wall,825,465
wall,825,435
wall,855,465
wall,855,435
wall,855,405
wall,855,375
wall,795,315
wall,765,315
wall,735,315
wall,705,315
wall,705,345
wall,495,495
wall,495,525
wall,495,555
wall,495,585
wall,495,615
wall,495,645
wall,525,645
wall,555,645
wall,585,645
wall,615,645
wall,645,645
wall,675,645
wall,285,675
wall,315,675
wall,345,675
wall,375,675
wall,405,675
wall,435,675
wall,465,675
wall,465,645
wall,825,825
wall,825,855
wall,855,855
wall,855,825
wall,465,405
wall,495,375
wall,495,405
wall,495,435
wall,465,435
wall,435,435
wall,405,405
wall,465,375
wall,525,375
wall,555,375
wall,585,375
wall,615,375
wall,615,405
wall,585,405
wall,555,405
wall,525,405
wall,435,375
wall,405,375
wall,405,435
wall,675,195
wall,675,165
wall,645,165
wall,615,165
wall,585,165
wall,555,165
wall,525,165
wall,495,165
wall,465,165
wall,465,195
wall,315,375
wall,285,375
wall,255,375
wall,225,375
wall,375,405
wall,345,405
wall,315,405
wall,195,375
wall,165,375
wall,135,375
wall,105,375
wall,75,375
wall,45,375
wall,255,345
wall,225,315
wall,195,285
wall,165,255
wall,135,225
wall,105,195
wall,75,195
wall,45,195
wall,45,165
wall,45,135
wall,105,105
wall,135,105
wall,135,75
wall,135,45
wall,105,225
wall,135,255
wall,165,285
wall,195,315
wall,225,345
wall,675,495
shocker,255,825
shocker,255,855
shocker,165,885
shocker,195,885
shocker,225,885
shocker,255,885
shocker,165,765
shocker,435,885
shocker,465,885
shocker,495,885
shocker,525,885
shocker,555,885
shocker,585,885
shocker,615,885
shocker,645,885
shocker,525,555
shocker,525,585
shocker,525,615
shocker,555,615
shocker,585,615
shocker,615,615
shocker,645,615
shocker,525,525
shocker,675,345
shocker,645,345
shocker,615,345
shocker,585,345
shocker,555,345
shocker,645,195
shocker,615,195
shocker,585,195
shocker,555,195
shocker,525,195
shocker,495,195
shocker,135,765
shocker,525,345
shocker,345,375
shocker,375,375
shocker,675,525
gravObj_off,225,705,0,300000
gravObj_off,765,825,0,300000
gravObj_off,675,405,0,300000
gravObj_off,435,405,0,300000
exit,75,15
exit,105,15
player,37.5,847.5
